"setting","simulation","Bayesian_epsilon","Bayesian_CI_upper","Bayesian_coverage","Bayesian_power","frequentist_epsilon","frequentist_CI_upper","frequentist_coverage","frequentist_power","n_sample","n_chains","n_iterations","n_simulations","BF_alternative","timestamp","seed"
2,17,0.276619486259767,0.08,TRUE,TRUE,0.252975364531023,0.489543753990441,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,18,0.314886152926434,0.02,TRUE,TRUE,0.265960233576375,0.428006566896939,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,18,0.313686152926434,0.04,TRUE,TRUE,0.268975364531023,0.438571933125796,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,19,0.313819486259767,0.04,TRUE,TRUE,0.268790322742872,0.422751212845883,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,19,0.3066728195931,0.0600000000000001,TRUE,TRUE,0.261034125201991,0.530400597109057,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,20,0.3121128195931,0.1,TRUE,TRUE,0.26431819745158,0.374219900060105,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,20,0.302779486259767,0.0600000000000001,TRUE,TRUE,0.259211468786883,0.527432121128637,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,21,0.3145128195931,0.0600000000000001,TRUE,TRUE,0.268975364531023,0.271070983362518,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,21,0.306139486259767,0.0600000000000001,TRUE,TRUE,0.265775364531023,0.47913702372689,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,22,0.3089128195931,0.1,TRUE,TRUE,0.247931457277103,0.447643100694814,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,22,0.264486152926434,0.0109999999999991,TRUE,TRUE,0.25535007046193,0.3188814328859,FALSE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,23,0.314726152926433,0.02,TRUE,TRUE,0.268790322742872,0.379906056195537,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,23,0.291286152926433,0.0600000000000001,TRUE,TRUE,0.260800297860876,0.606868149769053,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,24,0.313286152926433,0.08,TRUE,TRUE,0.268232518126986,0.356590236861272,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,24,0.2733928195931,0.0600000000000001,TRUE,TRUE,0.23311951108048,0.525326991371814,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,25,0.313686152926434,0.04,TRUE,TRUE,0.259349338053149,0.394708226543432,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,25,0.2786728195931,0.04,TRUE,TRUE,0.225775364531023,0.474270901498653,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,26,0.3138728195931,0.0600000000000001,TRUE,TRUE,0.265960233576375,0.484885438026897,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,26,0.3050728195931,0.0600000000000001,TRUE,TRUE,0.260180988336326,0.518184567373025,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,27,0.314246152926434,0.0509999999999991,TRUE,TRUE,0.267293804354382,0.351336925852716,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,27,0.3029928195931,0.08,TRUE,TRUE,0.26431819745158,0.349865906359576,FALSE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,28,0.3133128195931,0.0600000000000001,TRUE,TRUE,0.268790322742872,0.308970591727762,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,28,0.3107528195931,0.02,TRUE,TRUE,0.256153306135381,0.509758289551515,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,29,0.313419486259767,0.02,TRUE,TRUE,0.265960233576375,0.416397686624888,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,29,0.266166152926434,0.04,TRUE,TRUE,0.213722375782954,0.539966075020059,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,30,0.3145928195931,0.0600000000000001,TRUE,TRUE,0.268790322742872,0.465078031452941,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,30,0.3009928195931,0.0600000000000001,TRUE,TRUE,0.254575364531023,0.45487665978843,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,31,0.315019486259767,0.02,TRUE,TRUE,0.265960233576375,0.306755780257459,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,31,0.3097128195931,0.0600000000000001,TRUE,TRUE,0.257775364531023,0.613006190827765,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,32,0.312779486259767,0.02,TRUE,TRUE,0.268790322742872,0.415094326827471,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,32,0.261099486259767,0.08,TRUE,TRUE,0.198575364531023,0.517951932926586,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,33,0.314486152926434,0.0309999999999991,TRUE,TRUE,0.265960233576375,0.449016786799522,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,33,0.298646152926433,0.04,TRUE,TRUE,0.26431819745158,0.486534912082527,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,34,0.3137128195931,0.08,TRUE,TRUE,0.268790322742872,0.482578739421787,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,34,0.305526152926433,0.0600000000000001,TRUE,TRUE,0.251375364531023,0.440087930391731,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,35,0.309499486259767,0.1,TRUE,TRUE,0.265670427731006,0.38536168826296,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,35,0.294379486259767,0.02,TRUE,TRUE,0.25535007046193,0.526542304362135,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
